"LIBNAME","MEMNAME","MEMLABEL","TYPEMEM","NAME","TYPE","LENGTH","VARNUM","LABEL","FORMAT","FORMATL","FORMATD","INFORMAT","INFORML","INFORMD","JUST","NPOS","NOBS","ENGINE","CRDATE","MODATE","DELOBS","IDXUSAGE","MEMTYPE","IDXCOUNT","PROTECT","FLAGS","COMPRESS","REUSE","SORTED","SORTEDBY","CHARSET","COLLATE","NODUPKEY","NODUPREC","ENCRYPT","POINTOBS","GENMAX","GENNUM","GENNEXT","TRANSCOD"
"WORK","EDUCATION_CLTR00",,,"Cluster_tr2000",2,2,2,"Neighborhood cluster (tract-based, 2000)","$CLUS00A",0,0,,0,0,0,103,640,"V9","10JAN18:08:46:00","10JAN18:08:46:00",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EDUCATION_CLTR00",,,"Pct25andOverWoutHS",1,8,6,"% persons without HS diploma",,0,0,,0,0,1,16,640,"V9","10JAN18:08:46:00","10JAN18:08:46:00",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EDUCATION_CLTR00",,,"Pct25andOverWoutHS_m",1,8,7,"% persons without HS diploma MOE",,0,0,,0,0,1,24,640,"V9","10JAN18:08:46:00","10JAN18:08:46:00",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EDUCATION_CLTR00",,,"aud",1,8,8,"Total school enrollment",,0,0,,0,0,1,32,640,"V9","10JAN18:08:46:00","10JAN18:08:46:00",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EDUCATION_CLTR00",,,"aud_charter",1,8,9,"Charter school enrollment",,0,0,,0,0,1,40,640,"V9","10JAN18:08:46:00","10JAN18:08:46:00",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EDUCATION_CLTR00",,,"aud_dcps",1,8,10,"DCPS school enrollment",,0,0,,0,0,1,48,640,"V9","10JAN18:08:46:00","10JAN18:08:46:00",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EDUCATION_CLTR00",,,"charter_present",1,8,11,"Number of charter schools",,0,0,,0,0,1,56,640,"V9","10JAN18:08:46:00","10JAN18:08:46:00",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EDUCATION_CLTR00",,,"cluster_tr2000_nf",2,2,3,"Unformatted geography",,0,0,,0,0,0,105,640,"V9","10JAN18:08:46:00","10JAN18:08:46:00",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EDUCATION_CLTR00",,,"dcps_present",1,8,12,"Number of DCPS schools",,0,0,,0,0,1,64,640,"V9","10JAN18:08:46:00","10JAN18:08:46:00",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EDUCATION_CLTR00",,,"end_date",1,8,5,"End Date","DATE",9,0,,0,0,1,8,640,"V9","10JAN18:08:46:00","10JAN18:08:46:00",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EDUCATION_CLTR00",,,"indc",1,8,14,,,0,0,,0,0,1,80,640,"V9","10JAN18:08:46:00","10JAN18:08:46:00",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EDUCATION_CLTR00",,,"school_present",1,8,13,"Number of schools",,0,0,,0,0,1,72,640,"V9","10JAN18:08:46:00","10JAN18:08:46:00",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EDUCATION_CLTR00",,,"start_date",1,8,4,"Start Date","DATE",9,0,,0,0,1,0,640,"V9","10JAN18:08:46:00","10JAN18:08:46:00",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EDUCATION_CLTR00",,,"timeframe",2,15,1,"Year of Data",,0,0,,0,0,0,88,640,"V9","10JAN18:08:46:00","10JAN18:08:46:00",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"

